PIXEL,LATITUDE,LONGITUDE
688,41.15239913,-73.84405487
689,41.29303902,-74.46688771
690,41.29019442,-74.45495654
691,41.28734854,-74.44302646
692,41.28450138,-74.43109745
693,41.28165293,-74.41916953
694,41.2788032,-74.40724268
695,41.27595218,-74.39531691
696,41.27309989,-74.38339223
697,41.27024631,-74.37146862
698,41.26739145,-74.3595461
699,41.2645353,-74.34762466
700,41.26167788,-74.3357043
701,41.25881917,-74.32378503
702,41.25595919,-74.31186683
703,41.25309792,-74.29994972
704,41.25023537,-74.2880337
705,41.24737154,-74.27611875
706,41.24450643,-74.2642049
707,41.24164003,-74.25229212
708,41.23877236,-74.24038043
709,41.23590341,-74.22846983
710,41.23303318,-74.21656031
711,41.23016167,-74.20465188
712,41.22728888,-74.19274453
713,41.22441481,-74.18083827
714,41.22153946,-74.1689331
715,41.21866283,-74.15702901
716,41.21578493,-74.14512602
717,41.21290574,-74.13322411
718,41.21002528,-74.12132329
719,41.20714354,-74.10942355
720,41.20426052,-74.09752491
721,41.20137622,-74.08562735
722,41.19849064,-74.07373089
723,41.19560379,-74.06183551
724,41.19271566,-74.04994123
725,41.18982626,-74.03804803
726,41.18693557,-74.02615593
727,41.18404361,-74.01426492
728,41.18115038,-74.002375
729,41.17825586,-73.99048617
730,41.17536008,-73.97859843
731,41.17246301,-73.96671179
732,41.16956467,-73.95482624
733,41.16666506,-73.94294178
734,41.16376416,-73.93105841
735,41.160862,-73.91917614
736,41.15795856,-73.90729497
737,41.15505384,-73.89541489
738,41.15214785,-73.8835359
739,41.14924059,-73.87165801
740,41.14633205,-73.85978121
741,41.14342223,-73.84790551
742,41.28404005,-74.47065798
743,41.28119587,-74.45872835
744,41.27835041,-74.4467998
745,41.27550366,-74.43487233
746,41.27265563,-74.42294594
747,41.26980632,-74.41102063
748,41.26695572,-74.39909639
749,41.26410385,-74.38717324
750,41.26125069,-74.37525117
751,41.25839625,-74.36333018
752,41.25554052,-74.35141027
753,41.25268352,-74.33949144
754,41.24982523,-74.3275737
755,41.24696567,-74.31565704
756,41.24410482,-74.30374146
757,41.24124269,-74.29182696
758,41.23837928,-74.27991355
759,41.23551459,-74.26800122
760,41.23264862,-74.25608997
761,41.22978137,-74.24417981
762,41.22691284,-74.23227073
763,41.22404303,-74.22036274
764,41.22117194,-74.20845584
765,41.21829957,-74.19655002
766,41.21542593,-74.18464528
767,41.212551,-74.17274163
768,41.2096748,-74.16083907
769,41.20679731,-74.1489376
770,41.20391855,-74.13703721
771,41.20103851,-74.12513792
772,41.19815719,-74.11323971
773,41.1952746,-74.10134258
774,41.19239072,-74.08944655
775,41.18950557,-74.07755161
776,41.18661914,-74.06565775
777,41.18373144,-74.05376499
778,41.18084246,-74.04187331
779,41.1779522,-74.02998273
780,41.17506066,-74.01809324
781,41.17216785,-74.00620484
782,41.16927376,-73.99431753
783,41.1663784,-73.98243131
784,41.16348176,-73.97054618
785,41.16058385,-73.95866215
786,41.15768466,-73.9467792
787,41.15478419,-73.93489736
788,41.15188245,-73.9230166
789,41.14897943,-73.91113694
790,41.14607515,-73.89925837
791,41.14316958,-73.8873809
792,41.14026274,-73.87550452
793,41.13735463,-73.86362924
794,41.13444525,-73.85175506
795,41.27504099,-74.47442718
796,41.27219723,-74.46249908
797,41.26935218,-74.45057207
798,41.26650585,-74.43864613
799,41.26365824,-74.42672127
800,41.26080935,-74.41479749
801,41.25795917,-74.40287479
802,41.25510771,-74.39095318
803,41.25225497,-74.37903264
804,41.24940095,-74.36711318
805,41.24654565,-74.3551948
806,41.24368907,-74.3432775
807,41.2408312,-74.33136129
808,41.23797205,-74.31944616
809,41.23511163,-74.30753211
810,41.23224992,-74.29561914
811,41.22938693,-74.28370726
812,41.22652266,-74.27179645
813,41.22365711,-74.25988674
814,41.22079028,-74.2479781
815,41.21792218,-74.23607055
816,41.21505279,-74.22416409
817,41.21218212,-74.21225871
818,41.20931018,-74.20035441
819,41.20643695,-74.18845121
820,41.20356245,-74.17654908
821,41.20068666,-74.16464805
822,41.1978096,-74.1527481
823,41.19493126,-74.14084923
824,41.19205165,-74.12895146
825,41.18917075,-74.11705477
826,41.18628858,-74.10515917
827,41.18340513,-74.09326466
828,41.1805204,-74.08137124
829,41.1776344,-74.0694789
830,41.17474712,-74.05758766
831,41.17185856,-74.04569751
832,41.16896873,-74.03380844
833,41.16607762,-74.02192047
834,41.16318523,-74.01003358
835,41.16029157,-73.99814779
836,41.15739663,-73.98626309
837,41.15450041,-73.97437948
838,41.15160293,-73.96249696
839,41.14870416,-73.95061554
840,41.14580412,-73.93873521
841,41.14290281,-73.92685597
842,41.14000022,-73.91497782
843,41.13709636,-73.90310077
844,41.13419122,-73.89122481
845,41.13128481,-73.87934995
846,41.12837712,-73.86747618
847,41.12546816,-73.8556035
848,41.26604183,-74.47819529
849,41.26319849,-74.46626873
850,41.26035386,-74.45434325
851,41.25750795,-74.44241885
852,41.25466076,-74.43049553
853,41.25181229,-74.41857328
854,41.24896253,-74.40665212
855,41.24611149,-74.39473203
856,41.24325917,-74.38281302
857,41.24040557,-74.3708951
858,41.23755069,-74.35897825
859,41.23469452,-74.34706248
860,41.23183708,-74.3351478
861,41.22897835,-74.3232342
862,41.22611834,-74.31132168
863,41.22325706,-74.29941024
864,41.22039449,-74.28749988
865,41.21753064,-74.27559061
866,41.21466551,-74.26368242
867,41.21179911,-74.25177531
868,41.20893142,-74.23986929
869,41.20606245,-74.22796435
870,41.20319221,-74.2160605
871,41.20032069,-74.20415773
872,41.19744788,-74.19225604
873,41.1945738,-74.18035545
874,41.19169844,-74.16845593
875,41.1888218,-74.15655751
876,41.18594389,-74.14466017
877,41.18306469,-74.13276391
878,41.18018422,-74.12086875
879,41.17730247,-74.10897467
880,41.17441945,-74.09708168
881,41.17153514,-74.08518978
882,41.16864956,-74.07329897
883,41.16576271,-74.06140924
884,41.16287457,-74.04952061
885,41.15998516,-74.03763306
886,41.15709448,-74.02574661
887,41.15420252,-74.01386124
888,41.15130928,-74.00197697
889,41.14841476,-73.99009378
890,41.14551898,-73.97821169
891,41.14262191,-73.96633069
892,41.13972357,-73.95445078
893,41.13682396,-73.94257196
894,41.13392307,-73.93069424
895,41.13102091,-73.91881761
896,41.12811747,-73.90694207
897,41.12521276,-73.89506762
898,41.12230678,-73.88319427
899,41.11939952,-73.87132202
900,41.11649099,-73.85945085
901,41.25704259,-74.48196233
902,41.25419966,-74.47003731
903,41.25135545,-74.45811336
904,41.24850996,-74.44619049
905,41.24566319,-74.4342687
906,41.24281513,-74.42234799
907,41.2399658,-74.41042836
908,41.23711518,-74.3985098
909,41.23426328,-74.38659233
910,41.23141009,-74.37467593
911,41.22855563,-74.36276062
912,41.22569989,-74.35084638
913,41.22284286,-74.33893323
914,41.21998455,-74.32702115
915,41.21712497,-74.31511016
916,41.2142641,-74.30320025
917,41.21140196,-74.29129142
918,41.20853853,-74.27938368
919,41.20567382,-74.26747702
920,41.20280784,-74.25557144
921,41.19994057,-74.24366694
922,41.19707203,-74.23176353
923,41.1942022,-74.2198612
924,41.1913311,-74.20795995
925,41.18845872,-74.1960598
